title,link,description,provider
Планирование и прогнозирование в экономике,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=12603386,"курс дает возможность слушателям получить необходимые знания  по организации системы стратегического планирования и прогнозирования на федеральном и региональном уровнях  

в курсе рассматриваются методология и практика стратегического управления прогнозирования и предвидения последствий реализации принятых решений на разных уровнях управления экономикой страны и ее регионов

главной целью изучения дисциплины является подготовка квалифицированных кадров способствующих возрождению системы долгосрочного научного планирования и прогнозирования в стране и регионах

результаты освоения курсаслушатель курса будет способен выбрать инструментальные инструментальные
средства для обработки экономических данных в соответствии с поставленной
задачей проанализировать результаты расчетов и обосновать полученные выводывыполнять необходимые для составления экономических разделов
планов расчеты обосновывать их и представлять результаты работы в соответствии
с принятыми в организации стандартамистроить стандартные теоретические и экономические модели
анализировать и содержательно интерпретировать полученные результатыслушатели курса будут знать особенности бюджетного
планирования и прогнозирования планирования 
государственных закупок  и узнать
как осуществляется планирование и прогнозирования социальноэкономического и
демографического развития страны",Плехановский онлайн-университет
Цифровые технологии развития когнитивной сферы (Развитие навыков визуализации и схематизации информации),https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11241098,одной из ведущих тенденций развития россии является становление информационного общества создание и использование цифровых технологий работы с информацией во всех сферах жизни указанные тенденции определяют необходимость разработки образовательных технологий позволяющих развивать когнитивные способности и навыки специалистов различного профиля благодаря которым они смогут эффективно работать с большими массивами данных строить модели развития и функционирования социальноэкономических объектов различной степени структурированности и неопределённостиодним из способов интеллектуальной переработки и осмысления больших или слабо структурированных массивов информации является визуализация визуализация логикоструктурная схематизация информации позволяет решить задачу понимания и наглядности представления информации особенно при работе с большими массивами данных в содержании представленной программы отражены некоторые эффективные способы развития навыков понимания и наглядного представления информации  способности структурированной визуализации,"Платформа СевГУ.РУ ""Информационная система электронного обучения и дистанционных образовательных технологий"""
12 классических задач на собеседовании Junior Java Developer,https://www.udemy.com/course/twelve-java-tasks/,Примеры и разбор алгоритмических задач интервью,Udemy
2D+3D проектирование в AutoCAD,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11073840,процесс создания чертежей в инженерной и архитектурностроительной деятельности полностью реализуется в специальных графических пакетах программ программа autocad  многофункциональный программный продукт реализующий 2d и 3dтехнологии представления проектов и изобретений практически в любой сфере деятельности этот курс поможет за короткое время овладеть навыками работы в autocadкурс занял i место на международном конкурсе открытых онлайнкурсов edcrunch award ooc2018 в номинации лучший онлайнкурс по версии экспертов,Лекториум
3D моделирование для стоков,https://www.udemy.com/course/3d-lqvce/,Создаём свою первую 3D модель в программе 3dsmax с нуля до загрузки на сток,Udemy
5 первых шагов в ExcelRating: 4.8 out of 5253 reviews1 total hour5 lecturesBeginner,https://www.udemy.com/course/five-step-excel/,Изучаем Эксель на практическом примере,Udemy
А. С. Пушкин: жизнь и творчество. Часть 1,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604056,"творчество а с пушкина во многом определило развитие русской литературы xix в и последующих эпох целью курса является знакомство с основными этапами жизни и творчества писателя а также формирование представлений об эволюции его художественной системы о художественном мире отдельных произведений
в центре внимания первой части курса три периода творчества ас пушкина лицейский 18111817 петербургский 18171820 и южный 18201824 а также поэтика романа евгений онегин работа над которым началась на юге 1823 г а была завершена в первую болдинскую осень 1830 г
курс может быть использован как дисциплина по выбору или как отдельный модуль дисциплин ориентированных на изучение истории русской отечественной литературы а так же при реализации программ дополнительного образования и самообразования слушателей интересующихся творчеством ас пушкина
целевая аудитория обучающихся среднего и старшего звена общеобразовательных организаций абитуриенты российских вузов учителя общеобразовательных организаций и все кто интересуется историей русской литературы",Образование на русском
А. С. Пушкин: жизнь и творчество. Часть 2,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604057,"предлагаемый курс является продолжением курса ас пушкин жизнь и творчество часть 1 и ориентирован на осмысление творческой эволюции писателя изучение поэтики отдельных художественных текстов написанных в период с 1825 по 1836 гг
в центре внимания второй части курса михайловский период творчества ас пушкина 18241826 феномен болдинской осени 1830 1833 1834 гг становление художественной системы последнего десятилетия творчества писателя
курс ас пушкин жизнь и творчество часть 2 адресован школьникам средних и старших классов в практике школьного изучения русской литературы курс можно рекомендовать обучающимся для самостоятельного изучения с последующим обсуждением на уроках или же включать фрагменты курса в систему самостоятельной работы школьников
содержательная часть каждого модуля включает в себя видеолекции конспекты лекций презентации систему промежуточных тестов а также вспомогательный методический материал глоссарий рекомендуемая литература интересные факты завершается курс итоговым тестом",Образование на русском
Авиастроение,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604058,"разнообразие форм и видов современных самолетов приводит к замешательству новичков не знакомых с основными принципами проектирования зачем строить маленькие самолеты когда существует большие авиалайнеры почему у одного самолета два хвоста а у другого его вообще нет ответы на эти вопросы получат слушатели курса материалы курса не только вызывают интерес к авиации но и помогают сформировать личные цели для осмысленного подхода к профессиональному обучению
курс предназначен для учащихся старших классов и выпускников средних школ с целью оказания им помощи при изучении дисциплин необходимых для создания проекта своего самолета",Образование на русском
Автоматизация и цифровизация технологических процессов в сельской энергетике,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11259902,"курс посвящен изучению основных принципов построения систем автоматического управления технических и программных средств автоматизации и цифровизации технологических процессов в сельской энергетике методов анализа и синтеза автоматических систем управления технологическими процессами сельскохозяйственного производства
формирование у обучающихся профессиональных компетенций в области автоматизации и цифровизации технологических процессов",Портал онлайн-образования Башкирского ГАУ
